0,3035.88,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,171.3884,INDEF,179.1032,INDEF,-83.58636,INDEF,INDEF,0,-8.705711,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,INDEF,1,0,INDEF,INDEF,INDEF,INDEF
1.351305,2638.375,4.371968,22.29275,15.76336,0.04318092,0.02135154,4.773892,14.97341,171.4151,0.01490505,179.2341,0.01508906,-490.4385,46.06203,0.0939201,1.078173,-8.553342,0.001801131,0.001797235,14291.4,14291.4,-10.38769,-10.38769,5,5,-0.005512756,0.008625325,-0.01672184,0.008423964,0.006596345,0.008077398,-0.006861983,0.007709329,13,0,50,2,2.72052,2
1.486435,2568.601,4.308368,21.96845,15.53404,0.02721039,0.01857844,0.001898793,20.50821,171.4084,0.01426489,179.2284,0.01420636,-517.0471,40.50714,0.07834322,1.104171,-8.524241,0.001822654,0.001819591,24770.92,24770.92,-10.98486,-10.98486,9,9,-0.004618841,0.007428674,-0.01409052,0.007217366,-0.003716815,0.007146466,-0.005549117,0.00682522,13,0,16,0,0.9158855,2
1.635079,2491.71,4.193864,21.38459,15.12119,0.02394019,0.01588323,-24.87429,19.89507,171.412,0.0133974,179.2478,0.01333291,-537.5866,35.10274,0.0652969,1.130797,-8.491244,0.001829346,0.001825506,24770.92,24770.92,-10.98486,-10.98486,9,9,-0.01110093,0.006446596,0.005441229,0.006167829,-0.002891506,0.006312178,0.002530318,0.006020767,13,0,40,0,0.5891283,2
1.798587,2413.205,3.782762,19.28838,13.63894,0.04262609,0.01258295,-5.046868,8.936498,171.4206,0.01169142,179.233,0.01182876,-545.0296,29.22304,0.05361735,1.158065,-8.456486,0.001703626,0.001700175,24770.92,24770.92,-10.98486,-10.98486,9,9,-0.007571686,0.005312962,-0.005711954,0.005101433,-0.009521282,0.003880538,-0.006766452,0.003687368,13,0,50,2,1.266956,2
1.978446,2304.731,2.955981,15.07261,10.65794,0.02317294,0.008668021,-24.57106,11.21255,171.4313,0.008845892,179.2578,0.008798259,-568.9244,24.9195,0.04380107,1.18599,-8.40655,0.001393051,0.001392087,24770.92,24770.92,-10.98486,-10.98486,9,9,-0.004563601,0.003589963,0.004171237,0.003450392,-0.004700463,0.003285322,7.37E-05,0.003127714,13,0,50,2,1.966604,2
2.17629,2199.219,3.586718,18.97913,13.42027,0.02505067,0.00918378,-13.23219,11.02555,171.4208,0.01037022,179.2584,0.01024011,-584.2742,23.36545,0.03999055,1.214589,-8.355671,0.001771769,0.001769653,33863.44,33863.44,-11.32433,-11.32433,13,13,-0.008196425,0.003406803,0.004333964,0.003254432,-0.004346136,0.002631861,-0.005573114,0.002506552,14,0,26,0,0.9199267,2
2.393919,2079.776,2.403161,13.16265,9.307401,0.0343889,0.006095168,-12.705,5.241816,171.4387,0.007436391,179.2688,0.007521502,-527.2947,17.64659,0.03346628,1.243877,-8.295041,0.001255108,0.00125392,51001.48,51001.48,-11.76896,-11.76896,21,21,-0.002540773,0.002830852,1.42E-06,0.002788012,-0.005433693,0.00212253,-0.003641337,0.002087445,15,0,10,0,0.7340149,2
2.633312,1951.147,3.239286,18.88812,13.35592,0.0344785,0.00752798,-19.41533,6.63947,171.4342,0.01035904,179.271,0.01025024,-505.6265,17.71351,0.03503279,1.273871,-8.225725,0.001804162,0.001800879,51001.48,51001.48,-11.76896,-11.76896,21,21,-0.0102264,0.002127689,0.005458125,0.002007016,-0.003952638,0.001821891,-2.41E-04,0.001722355,17,0,10,0,0.2594848,2
2.896643,1810.047,2.582387,15.49432,10.95614,0.02553652,0.005990095,-20.80373,6.819808,171.4532,0.008739053,179.265,0.008856025,-467.6308,12.34943,0.0264085,1.304589,-8.144224,0.001549667,0.001548379,58355,58355,-11.9152,-11.9152,25,25,-0.007516203,0.001943166,0.003256132,0.001931544,0.001079274,0.00185727,0.001772438,0.001854737,18,0,11,0,0.6584269,2
3.186307,1674.198,2.319029,14.66683,10.37101,0.02553652,0.005262453,-22.95411,6.051808,171.4502,0.008520503,179.2663,0.008568148,-426.5858,10.78259,0.02527648,1.336048,-8.059517,0.00150494,0.001502818,68717.28,78634.55,-12.09266,-12.23903,31,37,-0.003841932,0.002241419,0.003403853,0.002213197,1.72E-04,0.00202722,0.003875087,0.002003432,20,0,10,0,0.1444085,2
3.504938,1540.517,2.387087,15.83415,11.19643,0.02810335,0.005302369,-23.35151,5.555598,171.4555,0.009460828,179.2571,0.009517536,-389.3304,11.80074,0.03031035,1.368265,-7.969166,0.001683754,0.001681021,78634.55,78634.55,-12.23903,-12.23903,37,37,-6.70E-04,0.002463304,0.003717417,0.002431428,-9.06E-04,0.001745779,0.007410335,0.001734494,22,0,12,0,0.7494794,2
3.855432,1411.461,3.052068,21.14535,14.95202,0.03714698,0.006645378,-24.67701,5.273478,171.4672,0.01303933,179.2429,0.01320313,-354.5804,11.08975,0.03127569,1.401258,-7.874172,0.002350087,0.002345484,90487.6,90487.6,-12.39147,-12.39147,45,45,-0.00219353,0.003278393,5.93E-04,0.003244632,0.002906398,0.002531686,0.009018784,0.002519326,24,0,11,0,0.8923606,2
4.240975,1275.956,2.419171,17.44489,12.3354,0.0405666,0.005295027,-32.0601,3.803141,171.4543,0.01135843,179.2429,0.01153322,-319.5224,7.484515,0.02342407,1.435048,-7.764589,0.002060403,0.002056674,103559.4,106132.2,-12.53797,-12.56462,55,57,-0.00247413,0.002415379,0.004325165,0.002425533,0.005499996,0.001885457,0.004744336,0.001890875,26,0,10,0,0.1595563,2
4.665072,1145.949,1.835539,13.97905,9.884682,0.04788274,0.004151088,-30.88261,2.580574,171.4561,0.009939902,179.2339,0.01005125,-273.8306,5.662732,0.02067969,1.469652,-7.647913,0.001740643,0.001737607,118183,120410.7,-12.68139,-12.70166,67,69,-0.004408465,0.001834877,0.003199031,0.001807113,0.001977999,0.001535544,0.004644223,0.001514701,29,0,10,0,0.06164389,2
5.13158,1019.79,1.956181,15.64945,11.06583,0.04910952,0.004624033,-33.0217,2.814327,171.4534,0.01222473,179.2201,0.01232962,-235.5636,4.695136,0.0199315,1.505091,-7.521277,0.002084734,0.002080621,126721,140681.3,-12.75712,-12.87059,75,89,-0.004072377,0.002157304,0.003675626,0.002117879,0.003321178,0.002063457,6.71E-04,0.002023808,32,0,10,0,0.03089386,2
5.644738,897.4067,1.310112,10.96118,7.750727,0.04662222,0.003466431,-32.54575,2.204714,171.4445,0.01002288,179.2084,0.01013123,-191.2303,3.514617,0.01837897,1.541384,-7.382473,0.001586372,0.001583752,148050.4,148050.4,-12.92602,-12.92602,97,97,-8.57E-04,0.001723228,0.002336846,0.001704597,7.18E-04,0.001711944,-8.59E-04,0.001692393,35,0,10,0,0.04670401,2
